avg_rating,num_of_reviews,price,Monday_open,Monday_close,Tuesday_open,Tuesday_close,Wednesday_open,Wednesday_close,Thursday_open,Thursday_close,Friday_open,Friday_close,Saturday_open,Saturday_close,Sunday_open,Sunday_close,Delivery,Dine-in,Takeout,Good for kids,Casual,Dinner,Lunch
2.2,15,2,4.0,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0,0.0,1,0,0,0,0,0,0
4.1,28,1,11.0,21.0,11.0,21.0,11.0,21.0,11.0,21.0,11.0,21.0,11.0,21.0,11.0,21.0,1,1,1,1,1,1,1
4.3,54,1,10.0,23.0,10.0,23.0,10.0,23.0,10.0,23.0,10.0,23.0,10.0,23.0,11.0,23.0,1,0,0,1,0,0,0
3.8,18,2,5.0,23.0,5.0,23.0,5.0,23.0,5.0,23.0,5.0,23.0,5.0,23.0,5.0,23.0,1,0,0,0,0,0,0
4.3,75,1,11.0,21.0,11.0,21.0,11.0,21.0,11.0,21.0,11.0,21.0,11.0,21.0,11.0,20.0,1,1,1,1,1,1,1
3.9,28,2,11.0,23.0,11.0,23.0,11.0,23.0,11.0,23.0,11.0,23.0,11.0,23.0,12.0,22.0,1,1,1,0,0,0,0
3.7,98,2,11.0,22.0,11.0,22.0,11.0,22.0,11.0,22.0,11.0,23.0,11.0,23.0,11.0,22.0,1,0,1,1,1,1,1
4.4,18,1,11.0,22.0,11.0,22.0,11.0,22.0,11.0,22.0,11.0,22.0,11.0,22.0,11.0,22.0,0,0,0,0,0,0,0
3.5,48,1,11.0,23.0,11.0,23.0,11.0,23.0,11.0,23.0,11.0,0.0,11.0,0.0,11.0,23.0,1,0,1,0,1,0,0
4.2,38,1,7.0,16.0,7.0,16.0,7.0,16.0,7.0,16.0,7.0,16.0,7.0,16.0,7.0,16.0,1,1,1,1,1,0,1
4.3,16,1,7.0,20.0,7.0,20.0,7.0,20.0,7.0,20.0,7.0,20.0,7.0,20.0,7.0,20.0,1,0,0,1,0,0,0
3.6,54,1,11.0,22.0,11.0,22.0,11.0,22.0,11.0,22.0,11.0,0.0,11.0,0.0,11.0,22.0,1,0,1,1,0,0,0
4.4,128,1,6.0,21.0,6.0,21.0,6.0,21.0,6.0,21.0,6.0,21.0,6.0,21.0,6.0,21.0,1,1,1,1,1,1,1
4.1,35,1,10.0,22.0,10.0,22.0,10.0,22.0,11.0,22.0,11.0,23.0,11.0,23.0,13.0,21.0,1,1,1,1,1,1,1
4.6,128,1,10.0,21.0,10.0,21.0,10.0,21.0,10.0,21.0,10.0,21.0,11.0,21.0,11.0,21.0,1,1,1,1,1,1,1
3.7,38,2,11.0,21.0,11.0,21.0,11.0,21.0,11.0,21.0,11.0,22.0,11.0,22.0,11.0,21.0,1,0,0,1,0,0,0
4.6,123,1,11.0,21.0,11.0,22.0,11.0,22.0,11.0,22.0,11.0,22.0,11.0,22.0,12.0,21.0,1,1,1,1,1,1,1
4.4,264,1,12.0,22.0,12.0,22.0,12.0,22.0,12.0,22.0,12.0,22.0,12.0,22.0,12.0,22.0,1,1,1,1,1,1,1
4.2,203,1,10.0,22.0,10.0,22.0,10.0,22.0,10.0,22.0,10.0,22.0,10.0,22.0,10.0,22.0,1,0,1,1,1,1,1
4.0,108,1,10.0,21.0,10.0,21.0,10.0,21.0,10.0,21.0,10.0,21.0,10.0,21.0,10.0,21.0,1,1,1,1,1,1,1
4.1,26,2,11.0,22.0,11.0,22.0,11.0,22.0,11.0,22.0,11.0,22.0,11.0,22.0,11.0,22.0,1,0,0,1,0,0,0
4.3,128,1,11.0,23.0,11.0,23.0,11.0,23.0,11.0,23.0,11.0,23.0,11.0,23.0,11.0,23.0,0,1,1,1,1,1,1
4.1,161,2,11.0,21.0,11.0,21.0,11.0,21.0,11.0,21.0,11.0,23.0,11.0,23.0,11.0,21.0,1,1,1,1,1,1,1
4.2,69,1,10.0,20.0,10.0,20.0,10.0,20.0,10.0,20.0,10.0,20.0,10.0,20.0,11.0,20.0,1,0,1,1,1,1,1
4.6,178,1,11.0,21.0,11.0,21.0,11.0,21.0,11.0,21.0,11.0,22.0,11.0,22.0,11.0,21.0,1,0,1,1,1,1,1
3.4,148,1,11.0,22.0,11.0,22.0,11.0,22.0,11.0,22.0,11.0,23.0,11.0,23.0,11.0,22.0,1,1,1,0,0,0,0
4.3,38,1,11.0,20.0,11.0,20.0,11.0,20.0,11.0,20.0,11.0,21.0,11.0,21.0,12.0,19.0,1,0,1,1,1,1,1
4.1,234,1,7.0,21.0,7.0,21.0,7.0,21.0,7.0,21.0,7.0,21.0,7.0,21.0,7.0,15.0,1,1,1,1,1,1,1
4.2,87,2,11.0,22.0,11.0,22.0,11.0,22.0,11.0,22.0,11.0,22.0,11.0,22.0,11.0,22.0,1,1,1,1,1,1,1
4.5,316,1,11.0,22.0,11.0,22.0,11.0,22.0,11.0,22.0,11.0,23.0,11.0,23.0,12.0,21.0,1,1,1,1,1,1,1
4.0,124,2,11.0,21.0,11.0,21.0,11.0,21.0,11.0,21.0,11.0,22.0,11.0,22.0,12.0,21.0,1,1,1,1,1,1,1
4.1,78,2,11.0,21.0,11.0,21.0,11.0,21.0,11.0,21.0,11.0,22.0,11.0,22.0,12.0,21.0,1,1,1,1,1,1,1
3.5,88,2,11.0,21.0,11.0,21.0,11.0,21.0,11.0,21.0,11.0,21.0,11.0,21.0,11.0,21.0,1,1,1,1,1,1,1
4.8,93,1,7.0,20.0,7.0,20.0,7.0,20.0,7.0,20.0,7.0,21.0,7.0,21.0,7.0,15.0,1,0,1,0,0,0,0
3.8,87,1,7.0,15.0,7.0,15.0,7.0,15.0,7.0,15.0,7.0,15.0,7.0,15.0,7.0,15.0,1,0,1,1,0,0,0
3.3,54,1,15.0,20.0,15.0,20.0,15.0,20.0,15.0,20.0,15.0,20.0,12.0,20.0,12.0,20.0,1,1,1,1,1,1,1
3.0,138,1,11.0,3.0,11.0,3.0,11.0,3.0,11.0,3.0,11.0,3.0,11.0,3.0,11.0,3.0,1,0,1,1,1,1,1
4.5,156,2,11.0,22.0,11.0,22.0,11.0,22.0,11.0,22.0,11.0,22.0,11.0,22.0,11.0,22.0,1,1,1,1,1,1,1
4.1,97,2,11.0,22.0,11.0,22.0,11.0,22.0,11.0,22.0,11.0,23.0,11.0,22.0,11.0,21.0,1,1,1,1,1,1,1
3.4,48,1,11.0,21.0,11.0,21.0,11.0,21.0,11.0,22.0,11.0,22.0,11.0,22.0,12.0,21.0,1,0,1,0,0,0,0
3.8,128,1,11.0,23.0,11.0,23.0,11.0,23.0,11.0,23.0,11.0,23.0,11.0,23.0,11.0,23.0,1,0,1,1,1,1,1
4.3,45,1,10.0,22.0,10.0,22.0,10.0,22.0,10.0,22.0,10.0,23.0,10.0,23.0,10.0,21.0,1,0,1,1,1,1,1
3.7,58,2,11.0,22.0,11.0,22.0,11.0,22.0,11.0,22.0,11.0,22.0,11.0,22.0,11.0,22.0,1,0,1,1,1,1,1
3.7,108,2,10.0,21.0,10.0,21.0,10.0,21.0,10.0,21.0,10.0,22.0,10.0,22.0,11.0,21.0,1,0,1,1,1,1,1
3.5,65,1,11.0,23.0,11.0,23.0,11.0,23.0,11.0,23.0,11.0,23.0,11.0,23.0,11.0,23.0,1,1,1,0,0,0,0
4.4,168,1,11.0,21.0,11.0,21.0,11.0,21.0,11.0,21.0,11.0,22.0,11.0,22.0,11.0,21.0,1,0,1,1,1,1,1
4.4,268,2,11.0,21.0,11.0,21.0,11.0,21.0,11.0,21.0,11.0,21.0,11.0,21.0,11.0,21.0,1,1,1,1,1,1,1
3.9,208,2,11.0,21.0,11.0,21.0,11.0,21.0,11.0,21.0,11.0,21.0,11.0,21.0,11.0,21.0,1,0,1,1,1,1,1
3.4,135,1,11.0,0.0,11.0,0.0,11.0,0.0,11.0,0.0,11.0,1.0,11.0,1.0,11.0,0.0,1,0,1,0,0,0,0
4.2,78,2,11.0,22.0,11.0,22.0,11.0,22.0,11.0,22.0,11.0,22.0,11.0,22.0,11.0,22.0,1,0,1,1,1,1,1
4.5,125,2,11.0,22.0,11.0,22.0,11.0,22.0,11.0,22.0,11.0,22.0,11.0,22.0,13.0,21.0,1,1,1,1,1,1,1
4.7,108,1,11.0,21.0,11.0,21.0,11.0,21.0,11.0,22.0,11.0,22.0,11.0,22.0,12.0,21.0,1,1,1,1,1,1,1
3.8,128,2,10.0,21.0,10.0,21.0,10.0,21.0,10.0,21.0,10.0,22.0,10.0,22.0,10.0,21.0,1,1,1,1,1,1,1
4.0,38,1,11.0,23.0,11.0,23.0,11.0,23.0,11.0,23.0,11.0,23.0,11.0,23.0,11.0,22.0,1,0,1,1,0,0,0
4.0,126,1,11.0,0.0,11.0,0.0,11.0,0.0,11.0,0.0,11.0,1.0,11.0,1.0,11.0,0.0,1,0,1,0,0,0,0
4.8,88,1,10.0,20.0,10.0,20.0,10.0,20.0,10.0,20.0,10.0,14.0,19.0,23.0,10.0,20.0,1,1,1,1,1,1,1
4.6,84,1,11.0,21.0,11.0,21.0,11.0,21.0,11.0,21.0,11.0,21.0,11.0,21.0,11.0,19.0,1,1,1,1,1,1,1
4.4,18,2,16.0,21.0,16.0,21.0,16.0,21.0,16.0,21.0,16.0,22.0,16.0,22.0,16.0,21.0,1,0,0,0,1,1,1
4.0,148,1,10.0,2.0,10.0,2.0,10.0,2.0,10.0,2.0,10.0,2.0,10.0,2.0,10.0,2.0,0,0,0,1,0,0,0
4.2,38,2,11.0,21.0,11.0,21.0,11.0,21.0,11.0,21.0,11.0,21.0,11.0,21.0,11.0,21.0,1,1,1,1,1,1,1
4.5,178,1,10.0,22.0,10.0,22.0,10.0,22.0,10.0,22.0,10.0,22.0,10.0,22.0,10.0,22.0,1,1,1,1,1,1,1
3.8,204,1,11.0,23.0,11.0,23.0,11.0,23.0,11.0,23.0,11.0,0.0,11.0,0.0,11.0,23.0,1,0,1,1,1,1,1
4.4,55,1,10.0,21.0,10.0,21.0,10.0,21.0,10.0,21.0,10.0,21.0,10.0,21.0,10.0,21.0,1,1,1,1,1,1,1
4.1,128,2,11.0,21.0,11.0,21.0,11.0,21.0,11.0,21.0,11.0,21.0,11.0,21.0,12.0,21.0,1,1,1,1,1,1,1
4.5,176,2,12.0,15.0,12.0,15.0,12.0,15.0,12.0,15.0,12.0,15.0,12.0,15.0,12.0,15.0,1,0,1,0,0,0,0
3.9,28,3,11.0,19.0,11.0,19.0,11.0,19.0,11.0,19.0,11.0,19.0,11.0,19.0,11.0,19.0,1,0,1,1,1,1,1
4.1,138,2,11.0,21.0,11.0,22.0,11.0,22.0,11.0,22.0,11.0,22.0,11.0,22.0,11.0,21.0,1,0,1,1,1,1,1
4.6,74,1,10.0,21.0,10.0,21.0,10.0,21.0,10.0,21.0,10.0,22.0,10.0,22.0,11.0,21.0,1,1,1,1,1,1,1
4.5,157,1,11.0,21.0,11.0,21.0,11.0,21.0,11.0,21.0,11.0,21.0,11.0,21.0,11.0,20.0,1,0,1,1,0,0,0
4.0,18,1,11.0,22.0,11.0,22.0,11.0,22.0,11.0,22.0,11.0,22.0,11.0,22.0,11.0,22.0,1,1,1,1,1,1,0
4.4,86,1,11.0,22.0,11.0,22.0,11.0,22.0,11.0,22.0,11.0,22.0,11.0,22.0,12.0,21.0,1,1,1,1,1,1,1
4.6,38,1,11.0,21.0,11.0,21.0,11.0,21.0,11.0,21.0,11.0,21.0,11.0,21.0,12.0,20.0,1,0,1,1,0,0,0
4.7,77,2,11.0,21.0,11.0,21.0,11.0,21.0,11.0,21.0,11.0,21.0,15.0,21.0,15.0,21.0,1,1,1,1,1,1,1
4.1,257,2,11.0,22.0,11.0,22.0,11.0,22.0,11.0,22.0,11.0,22.0,11.0,22.0,11.0,22.0,1,1,1,1,1,1,1
4.6,288,1,6.0,22.0,6.0,22.0,6.0,22.0,6.0,22.0,6.0,22.0,6.0,22.0,6.0,22.0,1,1,1,1,1,1,1
4.1,148,1,11.0,22.0,11.0,22.0,11.0,22.0,11.0,22.0,11.0,23.0,11.0,23.0,12.0,22.0,1,1,1,1,1,1,1
3.9,28,1,11.0,0.0,11.0,0.0,11.0,0.0,11.0,0.0,11.0,0.0,11.0,0.0,11.0,0.0,1,0,1,1,1,1,1
3.7,88,1,9.0,1.0,9.0,1.0,9.0,1.0,9.0,1.0,11.0,2.0,11.0,2.0,11.0,1.0,1,0,1,1,1,1,1
3.8,105,1,9.0,3.0,9.0,3.0,9.0,3.0,9.0,3.0,9.0,3.0,9.0,3.0,9.0,3.0,1,0,1,1,1,1,1
4.4,117,1,11.0,22.0,11.0,22.0,11.0,22.0,11.0,22.0,11.0,22.0,11.0,22.0,12.0,22.0,1,0,1,0,0,0,0
3.6,107,1,13.0,2.0,13.0,2.0,13.0,2.0,13.0,2.0,13.0,3.0,13.0,3.0,13.0,1.0,1,0,1,1,1,1,1
4.6,282,1,11.0,21.0,11.0,21.0,11.0,21.0,11.0,21.0,11.0,22.0,11.0,22.0,11.0,21.0,1,1,1,1,1,1,1
4.1,78,1,10.0,20.0,10.0,20.0,10.0,20.0,10.0,20.0,10.0,20.0,10.0,20.0,12.0,20.0,1,1,1,1,1,1,1
3.9,38,1,8.0,13.0,8.0,13.0,8.0,13.0,8.0,13.0,8.0,13.0,8.0,13.0,8.0,1.0,1,0,1,0,1,0,0
4.3,36,3,11.0,20.0,11.0,20.0,11.0,20.0,11.0,20.0,11.0,20.0,11.0,20.0,11.0,20.0,1,1,1,1,1,1,1
4.6,185,1,10.0,20.0,10.0,20.0,10.0,20.0,10.0,20.0,10.0,20.0,10.0,20.0,10.0,20.0,1,1,1,1,1,1,1
4.3,213,2,11.0,22.0,11.0,22.0,11.0,22.0,11.0,22.0,11.0,23.0,11.0,23.0,12.0,22.0,1,1,1,1,1,1,1
3.4,164,1,10.0,0.0,10.0,0.0,10.0,0.0,10.0,0.0,10.0,1.0,10.0,1.0,10.0,0.0,1,1,1,0,1,1,0
4.0,53,1,8.0,18.0,8.0,18.0,8.0,18.0,8.0,18.0,8.0,18.0,8.0,18.0,8.0,18.0,1,0,1,1,0,0,0
4.7,78,2,11.0,21.0,11.0,21.0,11.0,21.0,11.0,21.0,11.0,21.0,11.0,21.0,11.0,20.0,1,1,1,1,1,1,1
4.2,208,1,10.0,21.0,10.0,21.0,10.0,21.0,10.0,21.0,10.0,22.0,10.0,22.0,11.0,21.0,1,0,1,1,1,1,1
4.4,108,1,11.0,20.0,11.0,20.0,11.0,20.0,11.0,20.0,11.0,20.0,11.0,20.0,11.0,20.0,1,1,1,1,1,1,1
3.5,178,1,11.0,2.0,11.0,2.0,11.0,2.0,11.0,2.0,11.0,3.0,11.0,3.0,11.0,2.0,1,1,1,1,1,0,0
3.8,118,1,10.0,0.0,10.0,0.0,10.0,0.0,10.0,0.0,10.0,1.0,10.0,1.0,10.0,0.0,1,1,1,0,0,0,0
4.4,158,1,11.0,20.0,11.0,20.0,11.0,20.0,11.0,20.0,11.0,21.0,11.0,21.0,12.0,20.0,1,1,1,1,1,1,1
4.1,125,1,10.0,22.0,10.0,22.0,10.0,22.0,10.0,22.0,10.0,23.0,10.0,22.0,11.0,22.0,1,1,1,1,1,1,1
4.1,53,1,10.0,5.0,10.0,5.0,10.0,5.0,10.0,5.0,10.0,6.0,10.0,6.0,10.0,5.0,1,0,1,1,1,1,1
4.0,45,1,10.0,21.0,10.0,21.0,10.0,21.0,10.0,21.0,10.0,21.0,10.0,21.0,10.0,21.0,0,0,1,1,1,1,1
4.6,68,2,16.0,23.0,16.0,23.0,16.0,23.0,16.0,23.0,16.0,23.0,11.0,23.0,11.0,22.0,1,1,1,1,1,1,1
4.4,78,1,11.0,21.0,11.0,21.0,11.0,21.0,11.0,21.0,11.0,22.0,11.0,22.0,11.0,21.0,1,0,1,1,1,1,1
4.6,294,2,11.0,21.0,11.0,21.0,11.0,21.0,11.0,21.0,11.0,21.0,11.0,21.0,12.0,21.0,1,1,1,1,1,1,1
4.1,108,1,11.0,22.0,11.0,22.0,11.0,22.0,11.0,22.0,11.0,23.0,11.0,22.0,11.0,21.0,1,0,1,1,1,1,1
4.7,193,1,11.0,20.0,11.0,20.0,11.0,20.0,11.0,20.0,11.0,21.0,11.0,21.0,12.0,20.0,1,0,1,1,1,1,1
4.6,113,1,11.0,21.0,11.0,21.0,11.0,21.0,11.0,21.0,11.0,21.0,11.0,21.0,11.0,21.0,1,1,1,1,0,0,0
4.3,153,2,11.0,22.0,11.0,22.0,11.0,22.0,11.0,22.0,11.0,23.0,11.0,23.0,11.0,22.0,1,1,1,1,1,0,0
3.8,225,2,11.0,21.0,11.0,21.0,11.0,21.0,11.0,21.0,11.0,21.0,11.0,21.0,12.0,21.0,1,1,1,1,1,1,1
3.1,68,2,11.0,21.0,11.0,21.0,11.0,21.0,11.0,21.0,11.0,21.0,11.0,21.0,11.0,21.0,1,0,1,1,1,1,1
3.9,348,1,7.0,1.0,7.0,1.0,7.0,1.0,7.0,1.0,7.0,2.0,7.0,2.0,7.0,1.0,1,1,1,1,1,1,1
4.6,33,1,6.0,22.0,6.0,22.0,6.0,22.0,6.0,22.0,7.0,23.0,7.0,23.0,7.0,22.0,1,0,1,1,1,1,1
3.9,264,2,11.0,22.0,11.0,22.0,11.0,22.0,11.0,22.0,11.0,22.0,11.0,22.0,11.0,22.0,1,0,1,1,0,0,0
4.0,165,2,11.0,21.0,11.0,21.0,11.0,21.0,11.0,21.0,11.0,22.0,11.0,22.0,12.0,21.0,1,1,1,1,1,1,1
4.4,78,2,11.0,21.0,11.0,21.0,11.0,21.0,11.0,21.0,11.0,21.0,11.0,21.0,11.0,21.0,1,0,1,1,1,1,1
4.2,244,2,11.0,20.0,11.0,20.0,11.0,20.0,11.0,21.0,11.0,21.0,11.0,21.0,16.0,20.0,1,1,1,1,1,1,1
4.5,165,1,11.0,20.0,11.0,20.0,11.0,20.0,11.0,20.0,11.0,20.0,14.0,20.0,14.0,20.0,1,0,1,1,1,1,1
4.3,68,1,11.0,21.0,11.0,21.0,11.0,21.0,11.0,21.0,11.0,21.0,11.0,21.0,11.0,21.0,1,1,1,1,1,1,1
4.0,74,1,11.0,23.0,11.0,23.0,11.0,23.0,11.0,23.0,11.0,23.0,11.0,23.0,12.0,22.0,1,0,1,1,1,1,1
3.8,144,2,11.0,21.0,11.0,21.0,11.0,21.0,11.0,21.0,11.0,21.0,11.0,21.0,12.0,20.0,1,0,1,1,1,1,1
4.3,126,2,11.0,22.0,11.0,22.0,11.0,22.0,11.0,22.0,11.0,22.0,11.0,22.0,12.0,21.0,1,1,1,1,1,1,1
3.9,118,1,12.0,20.0,12.0,20.0,12.0,20.0,12.0,20.0,12.0,21.0,12.0,21.0,12.0,20.0,1,0,1,1,1,1,1
4.6,78,1,6.0,22.0,6.0,22.0,6.0,22.0,6.0,22.0,6.0,22.0,6.0,22.0,7.0,21.0,1,1,1,1,1,1,1
4.0,194,1,11.0,20.0,11.0,20.0,11.0,20.0,11.0,20.0,11.0,21.0,15.0,21.0,14.0,20.0,1,1,1,1,1,1,1
3.9,58,1,10.0,22.0,10.0,22.0,10.0,22.0,10.0,22.0,10.0,22.0,10.0,22.0,10.0,22.0,1,1,1,1,1,1,1
4.0,147,2,11.0,21.0,11.0,21.0,11.0,21.0,11.0,21.0,11.0,22.0,11.0,22.0,11.0,21.0,1,0,1,1,1,1,1
4.2,134,1,11.0,22.0,11.0,22.0,11.0,22.0,11.0,22.0,11.0,22.0,11.0,22.0,11.0,22.0,1,1,1,1,1,1,1
4.3,106,1,11.0,21.0,11.0,21.0,11.0,21.0,11.0,21.0,11.0,22.0,11.0,22.0,12.0,21.0,1,1,1,1,1,1,1
3.9,197,1,10.0,22.0,10.0,22.0,10.0,22.0,10.0,22.0,10.0,22.0,10.0,22.0,10.0,22.0,1,0,1,1,1,1,1
4.0,108,1,10.0,22.0,10.0,22.0,10.0,22.0,10.0,22.0,10.0,22.0,10.0,22.0,10.0,22.0,1,1,1,1,1,1,1
4.2,133,1,10.0,0.0,10.0,0.0,10.0,0.0,10.0,0.0,10.0,1.0,10.0,1.0,10.0,0.0,1,1,1,0,0,0,0
4.0,188,1,10.0,23.0,10.0,23.0,10.0,23.0,10.0,23.0,10.0,23.0,10.0,23.0,10.0,23.0,1,0,1,1,1,1,0
4.0,158,1,10.0,21.0,10.0,21.0,10.0,21.0,10.0,22.0,10.0,22.0,10.0,22.0,11.0,21.0,1,0,1,0,0,0,0
3.8,137,1,11.0,20.0,11.0,20.0,11.0,20.0,11.0,20.0,11.0,14.0,21.0,23.0,11.0,19.0,1,0,1,1,0,0,0
4.0,138,2,10.0,21.0,10.0,21.0,10.0,21.0,10.0,21.0,9.0,21.0,9.0,21.0,12.0,21.0,1,1,1,1,1,1,1
4.2,45,1,8.0,18.0,8.0,18.0,8.0,18.0,8.0,18.0,8.0,18.0,8.0,18.0,8.0,18.0,1,0,1,1,1,0,0
3.7,58,1,10.0,22.0,10.0,22.0,10.0,22.0,10.0,22.0,10.0,23.0,10.0,23.0,11.0,22.0,0,0,1,1,0,0,0
3.8,35,1,11.0,23.0,11.0,23.0,11.0,23.0,11.0,23.0,11.0,23.0,11.0,23.0,11.0,23.0,1,0,1,1,1,1,1
4.0,88,2,10.0,22.0,10.0,22.0,10.0,22.0,10.0,22.0,10.0,22.0,10.0,22.0,10.0,21.0,1,1,1,1,1,1,1
4.4,185,1,11.0,21.0,11.0,21.0,11.0,21.0,11.0,21.0,11.0,21.0,11.0,21.0,11.0,21.0,1,0,1,1,1,1,1
3.8,88,1,11.0,21.0,11.0,21.0,11.0,21.0,11.0,21.0,11.0,22.0,11.0,22.0,11.0,21.0,1,0,1,1,0,0,0
3.8,58,2,10.0,22.0,10.0,22.0,10.0,22.0,10.0,22.0,10.0,22.0,10.0,22.0,10.0,22.0,1,0,0,1,0,0,0
4.0,152,1,10.0,22.0,10.0,22.0,10.0,22.0,10.0,22.0,10.0,22.0,10.0,23.0,10.0,23.0,1,1,1,1,1,1,1
4.4,64,1,8.0,21.0,8.0,21.0,8.0,21.0,8.0,21.0,8.0,22.0,8.0,22.0,11.0,16.0,1,1,1,1,1,1,1
3.7,90,1,10.0,0.0,10.0,0.0,10.0,0.0,10.0,0.0,10.0,1.0,10.0,1.0,10.0,0.0,1,0,1,0,0,0,0
3.7,228,1,11.0,21.0,11.0,21.0,11.0,21.0,11.0,21.0,11.0,21.0,11.0,21.0,11.0,21.0,1,1,1,0,1,1,1
4.3,156,2,15.0,22.0,15.0,22.0,15.0,22.0,15.0,22.0,11.0,23.0,11.0,23.0,11.0,21.0,1,0,1,1,1,1,1
2.8,46,1,11.0,0.0,11.0,0.0,11.0,0.0,11.0,0.0,11.0,0.0,11.0,0.0,11.0,0.0,1,0,1,0,0,0,0
4.2,95,1,11.0,22.0,11.0,22.0,11.0,22.0,11.0,22.0,11.0,22.0,11.0,22.0,11.0,22.0,0,1,1,1,1,1,1
3.5,318,1,11.0,2.0,11.0,2.0,11.0,2.0,11.0,2.0,11.0,3.0,11.0,3.0,11.0,2.0,1,1,1,0,1,1,0
4.1,55,2,12.0,21.0,12.0,21.0,12.0,21.0,12.0,21.0,12.0,21.0,12.0,21.0,12.0,20.0,1,0,1,1,1,1,1
4.5,128,2,11.0,22.0,11.0,22.0,11.0,22.0,11.0,22.0,11.0,22.0,11.0,22.0,12.0,20.0,1,1,1,1,1,1,1
4.1,178,1,11.0,22.0,11.0,22.0,11.0,22.0,11.0,22.0,11.0,22.0,11.0,22.0,11.0,21.0,0,0,0,0,0,0,0
3.2,78,1,12.0,20.0,12.0,20.0,12.0,20.0,12.0,20.0,12.0,20.0,12.0,20.0,12.0,20.0,1,0,1,1,0,0,0
3.9,65,2,9.0,19.0,9.0,19.0,9.0,19.0,9.0,19.0,9.0,19.0,9.0,19.0,9.0,19.0,1,0,1,1,1,1,1
4.0,313,1,10.0,21.0,10.0,21.0,10.0,21.0,10.0,22.0,10.0,22.0,10.0,22.0,10.0,21.0,1,0,1,1,1,1,1
4.5,148,1,11.0,22.0,11.0,22.0,11.0,22.0,11.0,22.0,11.0,23.0,11.0,23.0,11.0,21.0,1,1,1,1,1,1,1
4.2,118,1,11.0,21.0,11.0,21.0,11.0,21.0,11.0,21.0,11.0,22.0,11.0,22.0,12.0,22.0,1,1,1,1,1,1,1
4.4,108,1,11.0,21.0,11.0,21.0,11.0,21.0,11.0,21.0,11.0,21.0,11.0,21.0,12.0,21.0,1,1,1,1,1,1,1
3.9,167,2,11.0,22.0,11.0,22.0,11.0,22.0,11.0,22.0,11.0,22.0,11.0,22.0,12.0,21.0,1,1,1,1,1,1,1
3.6,64,1,11.0,23.0,11.0,23.0,11.0,23.0,11.0,23.0,11.0,0.0,11.0,0.0,11.0,23.0,1,1,1,0,1,1,1
3.9,176,2,11.0,22.0,11.0,22.0,11.0,22.0,11.0,22.0,11.0,22.0,11.0,22.0,12.0,21.0,1,1,1,1,1,1,1
3.8,127,1,11.0,21.0,11.0,21.0,11.0,21.0,11.0,21.0,11.0,22.0,11.0,22.0,11.0,21.0,1,0,1,1,1,1,1
4.0,146,2,11.0,22.0,11.0,22.0,11.0,22.0,11.0,22.0,11.0,23.0,11.0,23.0,11.0,22.0,1,1,1,1,1,1,0
4.3,88,1,11.0,22.0,11.0,22.0,11.0,22.0,11.0,22.0,11.0,22.0,11.0,22.0,11.0,21.0,1,1,1,1,1,1,1
